TopicId,Top10Words
0,0.161*"feature" + 0.104*"class" + 0.066*"classification" + 0.045*"label" + 0.034*"classifier" + 0.025*"use" + 0.020*"svm" + 0.018*"machine-learning" + 0.018*"problem" + 0.018*"predict"
1,0.368*"model" + 0.067*"fit" + 0.026*"use" + 0.023*"parameter" + 0.017*"fitting" + 0.014*"glm" + 0.013*"aic" + 0.012*"prediction" + 0.011*"predict" + 0.011*"well"
2,0.083*"age" + 0.059*"people" + 0.050*"student" + 0.043*"person" + 0.031*"survey" + 0.025*"gender" + 0.024*"school" + 0.023*"population" + 0.022*"female" + 0.022*"male"
3,0.108*"r" + 0.072*"use" + 0.039*"code" + 0.035*"function" + 0.031*"package" + 0.024*"get" + 0.021*"try" + 0.018*"result" + 0.017*"python" + 0.016*"output"
4,0.068*"rate" + 0.068*"time" + 0.053*"event" + 0.050*"patient" + 0.048*"survival" + 0.038*"risk" + 0.026*"hazard" + 0.024*"disease" + 0.022*"cox" + 0.018*"analysis"
5,0.240*"regression" + 0.110*"linear" + 0.092*"coefficient" + 0.048*"model" + 0.020*"intercept" + 0.019*"predictor" + 0.018*"term" + 0.017*"ols" + 0.016*"square" + 0.014*"var"
6,0.087*"network" + 0.053*"input" + 0.052*"layer" + 0.051*"neural" + 0.044*"output" + 0.026*"neural-networks" + 0.024*"training" + 0.019*"use" + 0.018*"function" + 0.018*"learn"
7,0.083*"region" + 0.067*"location" + 0.061*"area" + 0.046*"point" + 0.029*"spatial" + 0.028*"permutation" + 0.019*"seed" + 0.019*"grid" + 0.017*"generator" + 0.017*"volume"
8,0.062*"site" + 0.054*"country" + 0.051*"specie" + 0.031*"growth" + 0.030*"concentration" + 0.025*"panel" + 0.025*"animal" + 0.024*"plant" + 0.016*"water" + 0.014*"gdp"
9,0.092*"tree" + 0.061*"forest" + 0.057*"random" + 0.046*"decision" + 0.045*"importance" + 0.034*"split" + 0.030*"node" + 0.022*"xgboost" + 0.020*"boost" + 0.016*"stage"
10,0.060*"model" + 0.060*"set" + 0.052*"training" + 0.050*"test" + 0.036*"validation" + 0.030*"use" + 0.029*"train" + 0.024*"data" + 0.023*"performance" + 0.021*"prediction"
11,0.254*"variable" + 0.055*"regression" + 0.043*"logistic" + 0.038*"predictor" + 0.029*"model" + 0.027*"categorical" + 0.026*"dependent" + 0.024*"continuous" + 0.021*"independent" + 0.018*"outcome"
12,0.184*"match" + 0.132*"sigma" + 0.098*"mu" + 0.039*"propensity" + 0.029*"exp" + 0.025*"balance" + 0.024*"cdot" + 0.024*"cov" + 0.022*"xi" + 0.020*"sim"
13,0.208*"probability" + 0.028*"event" + 0.026*"number" + 0.019*"p" + 0.017*"coin" + 0.016*"chance" + 0.016*"success" + 0.015*"outcome" + 0.015*"game" + 0.015*"get"
14,0.427*"data" + 0.038*"set" + 0.037*"dataset" + 0.035*"observation" + 0.033*"point" + 0.029*"use" + 0.022*"miss" + 0.018*"method" + 0.018*"outlier" + 0.017*"analysis"
15,0.065*"learn" + 0.033*"image" + 0.029*"machine" + 0.029*"algorithm" + 0.024*"kernel" + 0.014*"filter" + 0.013*"system" + 0.012*"action" + 0.012*"noise" + 0.012*"machine-learning"
16,0.162*"interval" + 0.114*"confidence" + 0.038*"bootstrap" + 0.032*"ci" + 0.023*"estimate" + 0.021*"calculate" + 0.019*"uncertainty" + 0.018*"quantile" + 0.018*"percentile" + 0.015*"prediction"
17,0.232*"matrix" + 0.123*"vector" + 0.095*"covariance" + 0.032*"multivariate" + 0.021*"element" + 0.019*"column" + 0.015*"diagonal" + 0.013*"singular" + 0.013*"product" + 0.011*"compute"
18,0.089*"ratio" + 0.069*"count" + 0.062*"proportion" + 0.056*"table" + 0.053*"binomial" + 0.043*"degree" + 0.031*"freedom" + 0.031*"chi-squared" + 0.031*"number" + 0.023*"cell"
19,0.215*"x" + 0.055*"n" + 0.053*"p" + 0.033*"end" + 0.032*"frac" + 0.032*"e" + 0.031*"begin" + 0.029*"align" + 0.029*"z" + 0.026*"right"
20,0.035*"function" + 0.021*"variable" + 0.020*"let" + 0.020*"equation" + 0.020*"random" + 0.019*"sum" + 0.018*"follow" + 0.018*"give" + 0.015*"term" + 0.014*"formula"
21,0.059*"anova" + 0.049*"measure" + 0.043*"subject" + 0.041*"measurement" + 0.033*"design" + 0.033*"experiment" + 0.030*"time" + 0.029*"condition" + 0.024*"participant" + 0.024*"repeat"
22,0.110*"random" + 0.101*"generate" + 0.088*"simulation" + 0.037*"simulate" + 0.037*"draw" + 0.035*"convergence" + 0.032*"number" + 0.028*"simulated" + 0.025*"run" + 0.025*"iteration"
23,0.067*"function" + 0.066*"loss" + 0.034*"problem" + 0.032*"gradient" + 0.031*"optimization" + 0.031*"lasso" + 0.026*"l" + 0.021*"solution" + 0.020*"cost" + 0.019*"minimize"
24,0.098*"series" + 0.092*"time" + 0.037*"forecast" + 0.033*"time-series" + 0.031*"arima" + 0.031*"model" + 0.025*"trend" + 0.023*"forecasting" + 0.020*"lag" + 0.019*"stationary"
25,0.189*"mean" + 0.132*"variance" + 0.074*"standard" + 0.055*"deviation" + 0.028*"calculate" + 0.020*"square" + 0.017*"scale" + 0.016*"unit" + 0.016*"sd" + 0.014*"standardize"
26,0.201*"error" + 0.168*"estimate" + 0.071*"estimator" + 0.054*"bias" + 0.039*"variance" + 0.038*"standard" + 0.037*"estimation" + 0.026*"parameter" + 0.020*"unbiased" + 0.017*"true"
27,0.078*"number" + 0.042*"column" + 0.034*"row" + 0.030*"set" + 0.027*"order" + 0.020*"first" + 0.017*"q" + 0.015*"list" + 0.014*"length" + 0.013*"encode"
28,0.074*"day" + 0.070*"year" + 0.057*"time" + 0.035*"month" + 0.027*"price" + 0.026*"period" + 0.020*"week" + 0.020*"temperature" + 0.018*"predict" + 0.018*"hour"
29,0.058*"paper" + 0.048*"’" + 0.032*"book" + 0.027*"method" + 0.022*"reference" + 0.019*"analysis" + 0.019*"author" + 0.019*"”" + 0.019*"“" + 0.015*"statistical"
30,0.122*"effect" + 0.063*"treatment" + 0.062*"interaction" + 0.056*"control" + 0.034*"study" + 0.028*"significant" + 0.023*"outcome" + 0.017*"causal" + 0.017*"analysis" + 0.016*"change"
31,0.170*"score" + 0.101*"factor" + 0.081*"scale" + 0.064*"item" + 0.031*"latent" + 0.027*"analysis" + 0.021*"rating" + 0.016*"measure" + 0.015*"ordinal" + 0.014*"question"
32,0.237*"weight" + 0.179*"average" + 0.040*"index" + 0.032*"calculate" + 0.023*"path" + 0.023*"combine" + 0.019*"sem" + 0.015*"individual" + 0.013*"total" + 0.012*"sum"
33,0.107*"model" + 0.094*"effect" + 0.062*"random" + 0.036*"fix" + 0.033*"mixed" + 0.029*"level" + 0.021*"intercept" + 0.019*"individual" + 0.015*"nest" + 0.013*"slope"
34,0.127*"state" + 0.088*"process" + 0.080*"poisson" + 0.068*"sequence" + 0.062*"time" + 0.045*"step" + 0.031*"markov" + 0.031*"chain" + 0.025*"transition" + 0.022*"car"
35,0.074*"component" + 0.071*"pca" + 0.053*"space" + 0.047*"dimension" + 0.019*"principal" + 0.016*"reduction" + 0.015*"dimensionality" + 0.015*"pc" + 0.013*"dimensional" + 0.013*"first"
